z,vel
718.6,1614.1490202092368
719.6,1614.4438370703022
720.5,1614.7177563097625
721.6,1614.9177617845494
722.6,1615.1607333720062
723.6,1615.2743503926908
724.6,1615.4993070259918
725.6,1615.7825641702452
726.5,1615.9555864474914
727.6,1616.200622331692
728.6,1616.3481081821492
729.6,1616.4998961283575
730.6,1616.66714259566
731.6,1616.8905351110989
732.6,1617.0973048563844
733.6,1617.2899929492141
734.6,1617.4200677431677
735.6,1617.5892827953762
736.7,1617.745368276738
737.6,1617.958713223843
738.6,1618.0297354740671
739.6,1618.337573803547
740.6,1618.857302378591
741.7,1619.7192369681886
742.6,1620.126831561637
743.6,1620.5025896170744
744.6,1620.7228710248453
745.6,1621.241837194593
746.6,1621.8763051511146
747.6,1622.0155595893907
748.6,1622.3875324078383
749.6,1622.5815612465883
750.6,1622.7870587706857
751.6,1622.986941299215
752.6,1623.2612611311542
753.6,1623.5325634099997
754.6,1623.7020733981922
755.7,1623.9521415454572
756.6,1624.1835511143802
757.6,1624.4338853260442
758.6,1624.549123843492
759.6,1625.0073213884543
760.6,1625.2324122877155
761.6,1625.3888797515272
762.6,1625.5548307550237
763.7,1625.7991233799264
764.6,1626.3828037479414
765.6,1627.5419993166763
766.6,1628.0069250103468
767.6,1628.162868045146
768.6,1628.3291445999052
769.6,1628.5189459635706
770.6,1628.792772087034
771.6,1628.934592906916
772.6,1629.0156911758233
773.6,1628.8076556803371
774.6,1628.765236038466
775.6,1628.9152704233984
776.5,1629.0511249805738
777.6,1629.49890216637
778.6,1629.9677425326734
779.7,1630.3839118118804
780.6,1630.8889882703606
781.6,1631.335788092316
782.6,1631.6116001634066
783.7,1632.056511655988
784.6,1632.3039238027236
785.6,1632.4937252763043
786.6,1632.6409562960887
787.5,1632.6433365185728
788.6,1632.8418114901312
789.6,1633.0962708735556
790.6,1633.3272944588578
791.6,1633.4923239268476
792.6,1633.5156680007913
793.6,1633.4519992979986
794.6,1633.477699661204
795.5,1633.5463320926128
796.6,1633.590185032523
797.6,1633.6441002628633
